name,description,condition,status,rateOption,rentalFee,replacementCost,freeToBorrow,whatItemOffers,whatIsIncluded,knownIssues,usageLimitations,thumbnailImage,photos,categories,tags,isTrending,viewCount,bookingCount,likeCount,lenderId,borrowerId,availability
Acoustic Guitar #001,Acoustic Guitar in fair condition.,FAIR,DEACTIVATED,PER_HOUR,153,5776,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-1/640/480,"[""https://picsum.photos/seed/item-1/640/480"",""https://picsum.photos/seed/item-1-a/1024/768"",""https://picsum.photos/seed/item-1-b/1024/768""]","[""BOOKS""]","[""kitchen"",""weekend-use"",""project"",""sports""]",true,160,73,123,,,"[{""startDate"":""2026-03-11T02:50:23.195Z"",""endDate"":""2026-03-13T02:50:23.195Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-16T02:50:23.195Z"",""endDate"":""2026-03-20T02:50:23.195Z"",""status"":""AVAILABLE""}]"
Projector #002,Projector in new condition.,NEW,DEACTIVATED,PER_DAY,133,2120,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-2/640/480,"[""https://picsum.photos/seed/item-2/640/480"",""https://picsum.photos/seed/item-2-a/1024/768"",""https://picsum.photos/seed/item-2-b/1024/768""]","[""SPORTS_OUTDOORS""]","[""sports"",""electronics""]",true,1509,1,34,,,"[{""startDate"":""2026-04-13T02:50:23.197Z"",""endDate"":""2026-04-15T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-18T02:50:23.197Z"",""endDate"":""2026-04-22T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Portable Speaker #003,Portable Speaker in new condition.,NEW,AVAILABLE,PER_DAY,320,6111,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-3/640/480,"[""https://picsum.photos/seed/item-3/640/480"",""https://picsum.photos/seed/item-3-a/1024/768"",""https://picsum.photos/seed/item-3-b/1024/768""]","[""BOOKS""]","[""kitchen"",""study""]",true,1381,61,79,,,"[{""startDate"":""2026-04-05T02:50:23.197Z"",""endDate"":""2026-04-07T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-10T02:50:23.197Z"",""endDate"":""2026-04-14T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Wireless Microphone #004,Wireless Microphone in poor condition.,POOR,AVAILABLE,PER_DAY,110,5253,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-4/640/480,"[""https://picsum.photos/seed/item-4/640/480"",""https://picsum.photos/seed/item-4-a/1024/768"",""https://picsum.photos/seed/item-4-b/1024/768""]","[""PET_SUPPLIES"",""OTHER"",""BOOKS""]","[""events"",""student-friendly""]",false,534,77,23,,,"[{""startDate"":""2026-03-26T02:50:23.197Z"",""endDate"":""2026-03-28T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-31T02:50:23.197Z"",""endDate"":""2026-04-04T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Badminton Racket Set #005,Badminton Racket Set in fair condition.,FAIR,RENTED,PER_HOUR,30,8841,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-5/640/480,"[""https://picsum.photos/seed/item-5/640/480"",""https://picsum.photos/seed/item-5-a/1024/768"",""https://picsum.photos/seed/item-5-b/1024/768""]","[""ELECTRONICS"",""VEHICLES_ACCESSORIES"",""SCHOOL_SUPPLIES""]","[""clean"",""portable"",""project""]",true,1951,40,52,,,"[{""startDate"":""2026-04-05T02:50:23.197Z"",""endDate"":""2026-04-07T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-10T02:50:23.197Z"",""endDate"":""2026-04-14T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Graphic Tablet #006,Graphic Tablet in poor condition.,POOR,AVAILABLE,PER_DAY,36,12358,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-6/640/480,"[""https://picsum.photos/seed/item-6/640/480"",""https://picsum.photos/seed/item-6-a/1024/768"",""https://picsum.photos/seed/item-6-b/1024/768""]","[""ELECTRONICS""]","[""weekend-use"",""home"",""events""]",true,661,31,137,,,"[{""startDate"":""2026-03-01T02:50:23.197Z"",""endDate"":""2026-03-03T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-06T02:50:23.197Z"",""endDate"":""2026-03-10T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Graphic Tablet #007,Graphic Tablet in good condition.,GOOD,AVAILABLE,PER_DAY,338,7477,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-7/640/480,"[""https://picsum.photos/seed/item-7/640/480"",""https://picsum.photos/seed/item-7-a/1024/768"",""https://picsum.photos/seed/item-7-b/1024/768""]","[""ELECTRONICS"",""VEHICLES_ACCESSORIES"",""HEALTH_BEAUTY""]","[""electronics"",""kitchen""]",true,2465,30,24,,,"[{""startDate"":""2026-03-04T02:50:23.197Z"",""endDate"":""2026-03-06T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-09T02:50:23.197Z"",""endDate"":""2026-03-13T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Power Bank #008,Power Bank in like new condition.,LIKE_NEW,AVAILABLE,PER_DAY,283,5330,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-8/640/480,"[""https://picsum.photos/seed/item-8/640/480"",""https://picsum.photos/seed/item-8-a/1024/768"",""https://picsum.photos/seed/item-8-b/1024/768""]","[""MUSIC_AUDIO"",""TOOLS""]","[""battery"",""clean""]",true,2438,26,23,,,"[{""startDate"":""2026-04-01T02:50:23.197Z"",""endDate"":""2026-04-03T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-06T02:50:23.197Z"",""endDate"":""2026-04-10T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Digital Camera #009,Digital Camera in fair condition.,FAIR,AVAILABLE,PER_HOUR,177,6515,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-9/640/480,"[""https://picsum.photos/seed/item-9/640/480"",""https://picsum.photos/seed/item-9-a/1024/768"",""https://picsum.photos/seed/item-9-b/1024/768""]","[""SPORTS_OUTDOORS""]","[""project"",""clean"",""events""]",true,1083,68,52,,,"[{""startDate"":""2026-03-19T02:50:23.197Z"",""endDate"":""2026-03-21T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-24T02:50:23.197Z"",""endDate"":""2026-03-28T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Camping Tent #010,Camping Tent in fair condition.,FAIR,RENTED,PER_HOUR,204,1546,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-10/640/480,"[""https://picsum.photos/seed/item-10/640/480"",""https://picsum.photos/seed/item-10-a/1024/768"",""https://picsum.photos/seed/item-10-b/1024/768""]","[""MUSIC_AUDIO"",""HOME_APPLIANCES"",""SCHOOL_SUPPLIES""]","[""tools"",""sports""]",true,1813,9,41,,,"[{""startDate"":""2026-03-24T02:50:23.197Z"",""endDate"":""2026-03-26T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-29T02:50:23.197Z"",""endDate"":""2026-04-02T02:50:23.197Z"",""status"":""AVAILABLE""}]"
